Read node data finish!
Read link data finish!
Read origin data finish!
************* 
init metro line cost 1,1, 6.000000  
init metro line cost 1,2, 6.000000  
init metro line cost 2,1, 6.000000  
init metro line cost 2,2, 6.000000  
init metro line cost 3,1, 6.000000  
init metro line cost 3,2, 6.000000  
obj:5390.5207697887344693, mainLoop:1, RelativeGap:9.055311336e-05, CPUTime:0
obj:5378.6252871251554097, mainLoop:2, RelativeGap:8.891708953e-05, CPUTime:0
obj:5366.8479648395714321, mainLoop:3, RelativeGap:8.73168448e-05, CPUTime:0
obj:5355.1873468460489676, mainLoop:4, RelativeGap:8.575552916e-05, CPUTime:0
obj:5343.6419982819570578, mainLoop:5, RelativeGap:8.423202636e-05, CPUTime:0.0009999275208
obj:5332.2105051609905786, mainLoop:6, RelativeGap:8.274525628e-05, CPUTime:0.0009999275208
obj:5320.8914740321606587, mainLoop:7, RelativeGap:8.129417362e-05, CPUTime:0.0009999275208
obj:5309.6835316446740762, mainLoop:8, RelativeGap:7.987776667e-05, CPUTime:0.0009999275208
obj:5298.585324618597042, mainLoop:9, RelativeGap:7.849505615e-05, CPUTime:0.0009999275208
obj:5287.5955191212169666, mainLoop:10, RelativeGap:7.714509402e-05, CPUTime:0.0009999275208
obj:5276.7128005490094438, mainLoop:11, RelativeGap:7.582696242e-05, CPUTime:0.0009999275208
obj:5265.9358732150894866, mainLoop:12, RelativeGap:7.45397726e-05, CPUTime:0.0009999275208
obj:5255.2634600421133655, mainLoop:13, RelativeGap:7.328266391e-05, CPUTime:0.0009999275208
obj:5244.6943022604709768, mainLoop:14, RelativeGap:7.20548028e-05, CPUTime:0.0009999275208
obj:5234.2271591117441858, mainLoop:15, RelativeGap:7.08553819e-05, CPUTime:0.0009999275208
obj:5223.8608075572810776, mainLoop:16, RelativeGap:6.968361912e-05, CPUTime:0.0009999275208
obj:5213.5940419918615589, mainLoop:17, RelativeGap:6.853875675e-05, CPUTime:0.0009999275208
obj:5203.4256739623051544, mainLoop:18, RelativeGap:6.742006064e-05, CPUTime:0.0009999275208
obj:5193.3545318909928028, mainLoop:19, RelativeGap:6.632681939e-05, CPUTime:0.0009999275208
obj:5183.3794608041653191, mainLoop:20, RelativeGap:6.525834356e-05, CPUTime:0.0009999275208
obj:5173.4993220649703289, mainLoop:21, RelativeGap:6.421396496e-05, CPUTime:0.0009999275208
obj:5163.712993111117612, mainLoop:22, RelativeGap:6.319303585e-05, CPUTime:0.0009999275208
obj:5154.0193671971119329, mainLoop:23, RelativeGap:6.219492833e-05, CPUTime:0.0009999275208
obj:5144.4173531409578572, mainLoop:24, RelativeGap:6.121903363e-05, CPUTime:0.0009999275208
obj:5134.9058750752601554, mainLoop:25, RelativeGap:6.026476145e-05, CPUTime:0.0009999275208
obj:5125.483872202645216, mainLoop:26, RelativeGap:5.933153937e-05, CPUTime:0.0009999275208
obj:5116.1502985554297993, mainLoop:27, RelativeGap:5.841881223e-05, CPUTime:0.0009999275208
obj:5106.904122759461643, mainLoop:28, RelativeGap:5.752604159e-05, CPUTime:0.0009999275208
obj:5097.7443278020518846, mainLoop:29, RelativeGap:5.66527051e-05, CPUTime:0.0009999275208
obj:5088.6699108039301791, mainLoop:30, RelativeGap:5.579829605e-05, CPUTime:0.0009999275208
obj:5079.6798827951570274, mainLoop:31, RelativeGap:5.496232279e-05, CPUTime:0.0009999275208
obj:5070.7732684949114628, mainLoop:32, RelativeGap:5.414430826e-05, CPUTime:0.0009999275208
obj:5061.9491060950922474, mainLoop:33, RelativeGap:5.334378951e-05, CPUTime:0.0009999275208
obj:5053.2064470476625502, mainLoop:34, RelativeGap:5.256031722e-05, CPUTime:0.0009999275208
obj:5044.5443558556744392, mainLoop:35, RelativeGap:5.17934553e-05, CPUTime:0.0009999275208
obj:5035.961909867891336, mainLoop:36, RelativeGap:5.104278038e-05, CPUTime:0.0009999275208
obj:5027.458199076980236, mainLoop:37, RelativeGap:5.030788146e-05, CPUTime:0.00200009346
obj:5019.0323259211536424, mainLoop:38, RelativeGap:4.958835951e-05, CPUTime:0.00200009346
obj:5010.683405089257576, mainLoop:39, RelativeGap:4.888382704e-05, CPUTime:0.00200009346
obj:5002.410563329202887, mainLoop:40, RelativeGap:4.819390776e-05, CPUTime:0.00200009346
obj:4994.2129392596980324, mainLoop:41, RelativeGap:4.75182362e-05, CPUTime:0.00200009346
obj:4986.0896831852160176, mainLoop:42, RelativeGap:4.685645739e-05, CPUTime:0.00200009346
obj:4978.0399569141427492, mainLoop:43, RelativeGap:4.62082265e-05, CPUTime:0.00200009346
obj:4970.0629335800404078, mainLoop:44, RelativeGap:4.557320853e-05, CPUTime:0.00200009346
obj:4962.1577974659876418, mainLoop:45, RelativeGap:4.495107801e-05, CPUTime:0.00200009346
obj:4954.3237438319147259, mainLoop:46, RelativeGap:4.434151865e-05, CPUTime:0.00200009346
obj:4946.5599787449045834, mainLoop:47, RelativeGap:4.374422312e-05, CPUTime:0.00200009346
obj:4938.8657189123823628, mainLoop:48, RelativeGap:4.31588927e-05, CPUTime:0.00200009346
obj:4931.2401915181744698, mainLoop:49, RelativeGap:4.258523706e-05, CPUTime:0.00200009346
obj:4923.6826340613306456, mainLoop:50, RelativeGap:4.202297398e-05, CPUTime:0.00200009346
obj:4916.1922941977345545, mainLoop:51, RelativeGap:4.147182908e-05, CPUTime:0.00200009346
obj:4908.7684295843719156, mainLoop:52, RelativeGap:4.093153561e-05, CPUTime:0.00200009346
obj:4901.4103077262670922, mainLoop:53, RelativeGap:4.040183419e-05, CPUTime:0.00200009346
obj:4894.117205826019017, mainLoop:54, RelativeGap:3.988247259e-05, CPUTime:0.00200009346
obj:4886.8884106358746067, mainLoop:55, RelativeGap:3.937320551e-05, CPUTime:0.00200009346
obj:4879.7232183123260256, mainLoop:56, RelativeGap:3.887379435e-05, CPUTime:0.00200009346
obj:4872.6209342731581273, mainLoop:57, RelativeGap:3.838400705e-05, CPUTime:0.00200009346
obj:4865.5808730569124236, mainLoop:58, RelativeGap:3.790361783e-05, CPUTime:0.00200009346
obj:4858.6023581847239257, mainLoop:59, RelativeGap:3.743240705e-05, CPUTime:0.00200009346
obj:4851.68472202448811, mainLoop:60, RelativeGap:3.6970161e-05, CPUTime:0.00200009346
obj:4844.8273056573143549, mainLoop:61, RelativeGap:3.651667172e-05, CPUTime:0.00200009346
obj:4838.0294587462294658, mainLoop:62, RelativeGap:3.607173682e-05, CPUTime:0.00200009346
obj:4831.2905394070721741, mainLoop:63, RelativeGap:3.563515935e-05, CPUTime:0.00200009346
obj:4824.6099140815658757, mainLoop:64, RelativeGap:3.520674759e-05, CPUTime:0.00200009346
obj:4817.9869574125177678, mainLoop:65, RelativeGap:3.478631492e-05, CPUTime:0.00200009346
obj:4811.421052121091634, mainLoop:66, RelativeGap:3.437367966e-05, CPUTime:0.00200009346
obj:4804.9115888861460917, mainLoop:67, RelativeGap:3.396866492e-05, CPUTime:0.00200009346
obj:4798.457966225580094, mainLoop:68, RelativeGap:3.357109848e-05, CPUTime:0.00200009346
obj:4792.0595903796456696, mainLoop:69, RelativeGap:3.318081262e-05, CPUTime:0.00200009346
obj:4785.715875196217894, mainLoop:70, RelativeGap:3.2797644e-05, CPUTime:0.00200009346
obj:4779.4262420179557012, mainLoop:71, RelativeGap:3.242143355e-05, CPUTime:0.00200009346
obj:4773.1901195713489869, mainLoop:72, RelativeGap:3.205202633e-05, CPUTime:0.003000020981
obj:4767.0069438575856111, mainLoop:73, RelativeGap:3.168927138e-05, CPUTime:0.003000020981
obj:4760.8761580452428461, mainLoop:74, RelativeGap:3.133302166e-05, CPUTime:0.003000020981
obj:4754.7972123647323315, mainLoop:75, RelativeGap:3.098313391e-05, CPUTime:0.003000020981
obj:4748.7695640045030814, mainLoop:76, RelativeGap:3.063946852e-05, CPUTime:0.003000020981
obj:4742.7926770089416095, mainLoop:77, RelativeGap:3.030188947e-05, CPUTime:0.003000020981
obj:4736.8660221779555286, mainLoop:78, RelativeGap:2.997026418e-05, CPUTime:0.003000020981
obj:4730.9890769682060636, mainLoop:79, RelativeGap:2.964446345e-05, CPUTime:0.003000020981
obj:4725.1613253959576468, mainLoop:80, RelativeGap:2.932436134e-05, CPUTime:0.003000020981
obj:4719.3822579415282235, mainLoop:81, RelativeGap:2.900983508e-05, CPUTime:0.003000020981
obj:4713.6513714552793317, mainLoop:82, RelativeGap:2.870076498e-05, CPUTime:0.003000020981
obj:4707.968169065163238, mainLoop:83, RelativeGap:2.839703436e-05, CPUTime:0.003000020981
obj:4702.3321600857680096, mainLoop:84, RelativeGap:2.809852945e-05, CPUTime:0.003000020981
obj:4696.7428599288377882, mainLoop:85, RelativeGap:2.78051393e-05, CPUTime:0.003000020981
obj:4691.1997900152564398, mainLoop:86, RelativeGap:2.751675571e-05, CPUTime:0.003000020981
obj:4685.702477688451836, mainLoop:87, RelativeGap:2.723327316e-05, CPUTime:0.003000020981
obj:4680.2504561292043945, mainLoop:88, RelativeGap:2.695458873e-05, CPUTime:0.003000020981
obj:4674.8432642718344141, mainLoop:89, RelativeGap:2.668060203e-05, CPUTime:0.003000020981
obj:4669.4804467217509227, mainLoop:90, RelativeGap:2.641121512e-05, CPUTime:0.003000020981
obj:4664.161553674302013, mainLoop:91, RelativeGap:2.614633244e-05, CPUTime:0.003000020981
obj:4658.8861408349766862, mainLoop:92, RelativeGap:2.588586077e-05, CPUTime:0.003000020981
obj:4653.6537693408427003, mainLoop:93, RelativeGap:2.562970915e-05, CPUTime:0.003000020981
obj:4648.4640056832768096, mainLoop:94, RelativeGap:2.537778879e-05, CPUTime:0.003000020981
obj:4643.3164216319228217, mainLoop:95, RelativeGap:2.513001306e-05, CPUTime:0.003000020981
obj:4638.210594159862012, mainLoop:96, RelativeGap:2.488629742e-05, CPUTime:0.003000020981
obj:4633.1461053699813419, mainLoop:97, RelativeGap:2.464655932e-05, CPUTime:0.003000020981
obj:4628.1225424225231109, mainLoop:98, RelativeGap:2.441071821e-05, CPUTime:0.003000020981
obj:4623.1394974637778432, mainLoop:99, RelativeGap:2.417869543e-05, CPUTime:0.003000020981
obj:4618.1965675559140436, mainLoop:100, RelativeGap:2.395041419e-05, CPUTime:0.003000020981
obj:4613.2933546079302687, mainLoop:101, RelativeGap:2.372579952e-05, CPUTime:0.003000020981
obj:4608.429465307681312, mainLoop:102, RelativeGap:2.350477822e-05, CPUTime:0.003000020981
obj:4603.6045110550048776, mainLoop:103, RelativeGap:2.328727878e-05, CPUTime:0.003000020981
obj:4598.8181078958805301, mainLoop:104, RelativeGap:2.307323139e-05, CPUTime:0.003000020981
obj:4594.0698764576463873, mainLoop:105, RelativeGap:2.286256785e-05, CPUTime:0.003000020981
obj:4589.3594418852253511, mainLoop:106, RelativeGap:2.265522157e-05, CPUTime:0.003000020981
obj:4584.6864337783526935, mainLoop:107, RelativeGap:2.245112746e-05, CPUTime:0.003999948502
obj:4580.0504861297958996, mainLoop:108, RelativeGap:2.225022197e-05, CPUTime:0.003999948502
obj:4575.4512372645367577, mainLoop:109, RelativeGap:2.2052443e-05, CPUTime:0.003999948502
obj:4570.8883297799102365, mainLoop:110, RelativeGap:2.185772987e-05, CPUTime:0.003999948502
obj:4566.3614104866710477, mainLoop:111, RelativeGap:2.166602329e-05, CPUTime:0.003999948502
obj:4561.8701303509787977, mainLoop:112, RelativeGap:2.147726532e-05, CPUTime:0.003999948502
obj:4557.4141444373035483, mainLoop:113, RelativeGap:2.129139935e-05, CPUTime:0.003999948502
obj:4553.2667198964927593, mainLoop:114, RelativeGap:2.061906485e-05, CPUTime:0.003999948502
obj:4548.8775971026880143, mainLoop:115, RelativeGap:2.043868024e-05, CPUTime:0.003999948502
obj:4544.5227848323202124, mainLoop:116, RelativeGap:2.026102861e-05, CPUTime:0.003999948502
obj:4540.2019537185469744, mainLoop:117, RelativeGap:2.008605821e-05, CPUTime:0.003999948502
obj:4535.9147782230174926, mainLoop:118, RelativeGap:1.991371843e-05, CPUTime:0.003999948502
obj:4531.6609365838376107, mainLoop:119, RelativeGap:1.974395981e-05, CPUTime:0.003999948502
obj:4527.4401107643379873, mainLoop:120, RelativeGap:1.957673397e-05, CPUTime:0.003999948502
obj:4523.2519864026344294, mainLoop:121, RelativeGap:1.941199364e-05, CPUTime:0.003999948502
obj:4519.0962527619476532, mainLoop:122, RelativeGap:1.924969253e-05, CPUTime:0.003999948502
obj:4514.9726026817024831, mainLoop:123, RelativeGap:1.908978543e-05, CPUTime:0.003999948502
obj:4510.880732529359193, mainLoop:124, RelativeGap:1.893222809e-05, CPUTime:0.003999948502
obj:4506.8203421529851767, mainLoop:125, RelativeGap:1.877697723e-05, CPUTime:0.003999948502
obj:4502.7911348345533042, mainLoop:126, RelativeGap:1.862399053e-05, CPUTime:0.003999948502
obj:4498.7928172439478658, mainLoop:127, RelativeGap:1.847322656e-05, CPUTime:0.003999948502
obj:4494.8250993936608211, mainLoop:128, RelativeGap:1.832464482e-05, CPUTime:0.003999948502
obj:4490.8876945941901795, mainLoop:129, RelativeGap:1.817820567e-05, CPUTime:0.003999948502
obj:4486.9803194101050394, mainLoop:130, RelativeGap:1.803387032e-05, CPUTime:0.003999948502
obj:4483.1026936167691019, mainLoop:131, RelativeGap:1.789160082e-05, CPUTime:0.003999948502
obj:4479.2545401577317534, mainLoop:132, RelativeGap:1.775136003e-05, CPUTime:0.003999948502
obj:4475.4355851027457902, mainLoop:133, RelativeGap:1.76131116e-05, CPUTime:0.003999948502
obj:4471.6455576064226989, mainLoop:134, RelativeGap:1.747681995e-05, CPUTime:0.003999948502
obj:4467.88418986751185, mainLoop:135, RelativeGap:1.734245026e-05, CPUTime:0.003999948502
obj:4464.1512170887881439, mainLoop:136, RelativeGap:1.720996846e-05, CPUTime:0.003999948502
obj:4460.4463774375381035, mainLoop:137, RelativeGap:1.707934116e-05, CPUTime:0.003999948502
obj:4456.7694120066298638, mainLoop:138, RelativeGap:1.695053571e-05, CPUTime:0.003999948502
obj:4453.1200647761806977, mainLoop:139, RelativeGap:1.682352013e-05, CPUTime:0.003999948502
obj:4449.4980825757793355, mainLoop:140, RelativeGap:1.669826309e-05, CPUTime:0.003999948502
obj:4445.9032150472758076, mainLoop:141, RelativeGap:1.657473394e-05, CPUTime:0.003999948502
obj:4442.3352146081260798, mainLoop:142, RelativeGap:1.645290265e-05, CPUTime:0.003999948502
obj:4438.7938364152751092, mainLoop:143, RelativeGap:1.633273982e-05, CPUTime:0.005000114441
obj:4435.2788383295755921, mainLoop:144, RelativeGap:1.621421664e-05, CPUTime:0.005000114441
obj:4431.7899808807324007, mainLoop:145, RelativeGap:1.609730491e-05, CPUTime:0.005000114441
obj:4428.3270272327645216, mainLoop:146, RelativeGap:1.5981977e-05, CPUTime:0.005000114441
obj:4424.889743149977221, mainLoop:147, RelativeGap:1.586820584e-05, CPUTime:0.005000114441
obj:4421.4778969634262467, mainLoop:148, RelativeGap:1.575596493e-05, CPUTime:0.005000114441
obj:4418.0912595378813421, mainLoop:149, RelativeGap:1.564522828e-05, CPUTime:0.005000114441
obj:4414.7296042392736126, mainLoop:150, RelativeGap:1.553597046e-05, CPUTime:0.005000114441
obj:4411.3927069026158279, mainLoop:151, RelativeGap:1.542816651e-05, CPUTime:0.005000114441
obj:4408.0803458003883861, mainLoop:152, RelativeGap:1.532179202e-05, CPUTime:0.005000114441
obj:4404.7923016113973063, mainLoop:153, RelativeGap:1.521682303e-05, CPUTime:0.005000114441
obj:4401.528357390065139, mainLoop:154, RelativeGap:1.511323608e-05, CPUTime:0.005000114441
obj:4398.2882985361948158, mainLoop:155, RelativeGap:1.501100818e-05, CPUTime:0.005000114441
obj:4395.0719127651427698, mainLoop:156, RelativeGap:1.491011679e-05, CPUTime:0.005000114441
obj:4391.8789900784504425, mainLoop:157, RelativeGap:1.481053981e-05, CPUTime:0.005000114441
obj:4388.7093227348823348, mainLoop:158, RelativeGap:1.471225559e-05, CPUTime:0.005000114441
obj:4385.5627052218869721, mainLoop:159, RelativeGap:1.46152429e-05, CPUTime:0.005000114441
obj:4382.438934227469872, mainLoop:160, RelativeGap:1.451948093e-05, CPUTime:0.005000114441
obj:4379.3378086124757829, mainLoop:161, RelativeGap:1.442494927e-05, CPUTime:0.005000114441
obj:4376.2591293832565498, mainLoop:162, RelativeGap:1.433162791e-05, CPUTime:0.005000114441
obj:4373.202699664746433, mainLoop:163, RelativeGap:1.423949725e-05, CPUTime:0.005000114441
obj:4370.1683246739048627, mainLoop:164, RelativeGap:1.414853804e-05, CPUTime:0.006000041962
obj:4367.1558116935566431, mainLoop:165, RelativeGap:1.405873141e-05, CPUTime:0.006000041962
obj:4364.1649700465923161, mainLoop:166, RelativeGap:1.397005888e-05, CPUTime:0.006000041962
obj:4361.1956110705414176, mainLoop:167, RelativeGap:1.388250229e-05, CPUTime:0.006000041962
obj:4358.2475480925077136, mainLoop:168, RelativeGap:1.379604386e-05, CPUTime:0.006000041962
obj:4355.3205964044555003, mainLoop:169, RelativeGap:1.371066611e-05, CPUTime:0.006000041962
obj:4352.4145732388533361, mainLoop:170, RelativeGap:1.362635194e-05, CPUTime:0.006000041962
obj:4349.5292977446533769, mainLoop:171, RelativeGap:1.354308454e-05, CPUTime:0.006000041962
obj:4346.6645909636208671, mainLoop:172, RelativeGap:1.346084744e-05, CPUTime:0.006000041962
obj:4343.8202758069837728, mainLoop:173, RelativeGap:1.337962446e-05, CPUTime:0.006000041962
obj:4340.9961770324271129, mainLoop:174, RelativeGap:1.329939975e-05, CPUTime:0.006000041962
obj:4338.1921212213983381, mainLoop:175, RelativeGap:1.322015774e-05, CPUTime:0.006000041962
obj:4335.4079367567328518, mainLoop:176, RelativeGap:1.314188315e-05, CPUTime:0.006000041962
obj:4332.6434538005978538, mainLoop:177, RelativeGap:1.3064561e-05, CPUTime:0.006000041962
obj:4329.8985042727417749, mainLoop:178, RelativeGap:1.298817658e-05, CPUTime:0.006000041962
obj:4327.1729218290456629, mainLoop:179, RelativeGap:1.291271545e-05, CPUTime:0.006000041962
obj:4324.4665418403801596, mainLoop:180, RelativeGap:1.283816344e-05, CPUTime:0.006000041962
obj:4321.7792013717489681, mainLoop:181, RelativeGap:1.276450666e-05, CPUTime:0.006000041962
obj:4319.1107391617215399, mainLoop:182, RelativeGap:1.269173143e-05, CPUTime:0.006000041962
obj:4316.4609956021604376, mainLoop:183, RelativeGap:1.261982437e-05, CPUTime:0.006000041962
obj:4313.8298127182233657, mainLoop:184, RelativeGap:1.254877233e-05, CPUTime:0.006000041962
obj:4311.2170341486389589, mainLoop:185, RelativeGap:1.247856237e-05, CPUTime:0.006000041962
obj:4308.6225051262572379, mainLoop:186, RelativeGap:1.240918183e-05, CPUTime:0.006000041962
obj:4306.0460724588765515, mainLoop:187, RelativeGap:1.234061825e-05, CPUTime:0.006000041962
obj:4303.4875845103179017, mainLoop:188, RelativeGap:1.227285941e-05, CPUTime:0.006000041962
obj:4300.9468911817684784, mainLoop:189, RelativeGap:1.22058933e-05, CPUTime:0.006000041962
obj:4298.4238438933898578, mainLoop:190, RelativeGap:1.213970814e-05, CPUTime:0.006000041962
obj:4295.9182955661572123, mainLoop:191, RelativeGap:1.207429234e-05, CPUTime:0.006000041962
obj:4293.4301006039640924, mainLoop:192, RelativeGap:1.200963454e-05, CPUTime:0.006999969482
obj:4290.9591148759682255, mainLoop:193, RelativeGap:1.194572356e-05, CPUTime:0.006999969482
obj:4288.5051956991665065, mainLoop:194, RelativeGap:1.188254845e-05, CPUTime:0.006999969482
obj:4286.0682018212282856, mainLoop:195, RelativeGap:1.182009842e-05, CPUTime:0.006999969482
obj:4283.6479934035342012, mainLoop:196, RelativeGap:1.175836289e-05, CPUTime:0.006999969482
obj:4281.2444320044778578, mainLoop:197, RelativeGap:1.169733147e-05, CPUTime:0.006999969482
obj:4278.8573805629566777, mainLoop:198, RelativeGap:1.163699393e-05, CPUTime:0.006999969482
obj:4276.4867033821237783, mainLoop:199, RelativeGap:1.157734024e-05, CPUTime:0.006999969482
obj:4274.1322661133244765, mainLoop:200, RelativeGap:1.151836055e-05, CPUTime:0.006999969482
obj:4271.7939357402792666, mainLoop:201, RelativeGap:1.146004516e-05, CPUTime:0.006999969482
